# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,553.814713,9.61358,3.46411,116.685969,2.564897,-94.158058,29.783121,4/7/2023
pos,560.356289,11.25851,2.31626,128.077178,-7.172601,-94.040909,29.695343,4/7/2023
pos,568.080075,9.93536,2.329239,72.580042,-59.325694,-94.6203,29.225212,4/7/2023
pos,575.152872,9.46307,2.777699,58.096666,-71.819551,-94.770561,29.112587,4/7/2023
pos,578.984284,10.58371,2.8598,115.025601,2.235666,-94.175339,29.780153,4/7/2023
pos,595.306591,10.86388,1.49098,65.479698,-74.240755,-94.694527,29.090761,4/7/2023
pos,605.497606,9.06657,2.91162,58.791482,-70.193073,-94.763306,29.127249,4/7/2023
pos,607.804805,8.94642,2.72536,-116.043218,3.811363,-96.575401,29.794357,4/7/2023
pos,611.740019,9.21939,2.01198,116.542666,-26.743235,-94.16272,29.518925,4/7/2023
pos,613.53397,4.54941,2.06312,-24.402666,57.221078,-95.624718,30.275816,4/7/2023
pos,655.902222,9.68534,2.97123,72.216858,-58.314092,-94.623985,29.234331,4/7/2023
pos,664.07374,9.12893,2.62792,67.357898,4.051092,-94.670303,29.796518,4/7/2023
pos,672.406768,8.80172,1.11067,95.539053,-47.564779,-94.382126,29.33123,4/7/2023
pos,679.259909,4.36339,1.37932,68.936798,5.145849,-94.653831,29.806387,4/7/2023
pos,687.727941,4.22816,0,59.734244,-71.346652,-94.753639,29.11685,4/7/2023
pos,690.771427,8.77931,1.95149,-12.415119,105.212232,-95.500168,30.708429,4/7/2023
pos,701.916569,8.92615,3.72121,61.108894,-70.400641,-94.739403,29.125378,4/7/2023
pos,707.655992,7.08456,1.355959,-31.502587,59.565475,-95.698898,30.296949,4/7/2023
pos,715.057423,11.00834,2.19386,-119.536612,-9.961968,-96.610153,29.670198,4/7/2023
pos,720.698365,11.61968,1.55024,117.878486,8.339772,-94.145035,29.835178,4/7/2023
pos,731.473421,5.72647,0.94589,-35.137868,85.730465,-95.73774,30.532812,4/7/2023
pos,733.798527,2.57258,1.37075,68.84303,5.108186,-94.654808,29.806047,4/7/2023
pos,736.456997,7.0097,1.99749,62.146568,-73.187046,-94.728851,29.10026,4/7/2023
pos,756.141371,2.86042,1.68852,69.773131,4.583448,-94.64518,29.801317,4/7/2023
pos,765.781458,7.3168,2.25629,-23.25118,56.330503,-95.612679,30.267788,4/7/2023
pos,772.119723,11.17725,1.32324,64.172162,-72.670559,-94.707924,29.104916,4/7/2023
pos,778.459306,9.1488,2.65534,68.859669,6.095245,-94.654572,29.814945,4/7/2023
pos,781.690861,13.06318,1.31183,-141.528743,-44.112507,-96.833855,29.36235,4/7/2023
pos,789.751764,9.48402,3.324851,-131.205832,-37.279056,-96.727905,29.42395,4/7/2023
pos,790.0574,3.5349,0.71339,70.521673,6.290964,-94.637291,29.81671,4/7/2023
pos,800.037062,9.76031,2.694101,62.522295,-71.441443,-94.724876,29.115995,4/7/2023
pos,809.109478,7.22829,4.79504,70.742729,5.941209,-94.635017,29.813557,4/7/2023
pos,814.386825,9.09831,2.131061,-115.080226,12.376239,-96.566322,29.871565,4/7/2023
pos,815.86921,6.98575,0.66548,-74.516625,14.181298,-96.144768,29.887836,4/7/2023
pos,815.812066,13.08995,2.14254,-141.93115,-44.437929,-96.837975,29.359417,4/7/2023
pos,816.874841,9.12709,2.7627,74.338696,-55.491717,-94.601875,29.259773,4/7/2023
pos,823.102592,4.24249,0.74129,65.507074,-66.646433,-94.693794,29.15922,4/7/2023
pos,840.648874,3.33976,0.99423,70.204108,7.620584,-94.640503,29.828695,4/7/2023
pos,855.758628,8.66189,3.217561,80.853749,-54.20505,-94.534462,29.271372,4/7/2023
pos,856.971846,7.3671,2.72095,70.203826,4.764779,-94.640694,29.802952,4/7/2023
pos,864.53206,3.35732,1.23758,69.5355,6.055255,-94.647552,29.814585,4/7/2023
pos,865.392317,9.26824,2.210399,61.379683,-70.436188,-94.73661,29.125057,4/7/2023
pos,865.644546,10.24764,1.638601,65.987076,-72.452835,-94.689186,29.106878,4/7/2023
pos,873.207794,7.74292,4.32192,-87.078523,44.151066,-96.277847,30.157997,4/7/2023
pos,880.088036,7.41207,4.56632,70.650574,6.689808,-94.635925,29.820305,4/7/2023
pos,888.073232,6.33429,2.60249,-101.838256,27.480883,-96.430115,30.007725,4/7/2023
pos,892.797467,3.19001,1.45991,69.09875,8.501002,-94.651932,29.836632,4/7/2023
pos,893.462557,7.05016,2.66095,-25.252823,58.438133,-95.633621,30.286787,4/7/2023
pos,896.08642,8.90796,3.17962,72.419371,-50.937706,-94.621407,29.300825,4/7/2023
pos,897.551583,10.52477,1.5495,63.628214,-69.941918,-94.713379,29.129513,4/7/2023
pos,901.631158,4.37136,0.66622,-49.77751,67.677341,-95.890083,30.370073,4/7/2023
pos,910.394431,9.09083,2.83426,70.723137,6.019497,-94.635216,29.814262,4/7/2023
pos,932.564087,9.59006,1.694261,-16.991203,96.192864,-95.547997,30.627125,4/7/2023
pos,939.00564,7.95909,1.93813,-32.616638,65.040106,-95.710701,30.3463,4/7/2023
